proteinA,Gene_Symbol,proteinB,Accession
P47992,XCL1,SARS-CoV-2_ORF6,P0DTC6
Q9UBD3,XCL2,SARS-CoV-2_ORF6,P0DTC6
Q8NEX5,WFDC9,SARS-CoV-2_ORF6,P0DTC6
A2RUG3,XKRY2,SARS-CoV-2_ORF6,P0DTC6
Q6AHZ1,ZNF518A,SARS-CoV-2_ORF6,P0DTC6
Q9NPG3,UBN1,SARS-CoV-2_ORF6,P0DTC6
Q8IUB2,WFDC3,SARS-CoV-2_ORF6,P0DTC6
Q8WWY7,WFDC12,SARS-CoV-2_ORF6,P0DTC6
Q8WV99,ZFAND2B,SARS-CoV-2_ORF6,P0DTC6
Q96B42,TMEM18,SARS-CoV-2_ORF6,P0DTC6
Q14508,WFDC2,SARS-CoV-2_ORF6,P0DTC6
Q9BTP6,ZBED2,SARS-CoV-2_ORF6,P0DTC6
O75541,ZNF821,SARS-CoV-2_ORF6,P0DTC6
Q96B54,ZNF428,SARS-CoV-2_ORF6,P0DTC6
Q13362,PPP2R5C,SARS-CoV-2_ORF6,P0DTC6
O43825,B3GALT2,SARS-CoV-2_ORF6,P0DTC6
P30153,PPP2R1A,SARS-CoV-2_ORF6,P0DTC6
Q12983,BNIP3,SARS-CoV-2_ORF6,P0DTC6
P07311,ACYP1,SARS-CoV-2_ORF6,P0DTC6
P16671,CD36,SARS-CoV-2_ORF6,P0DTC6
Q6IPU0,CENPP,SARS-CoV-2_ORF6,P0DTC6
Q8WXK4,ASB12,SARS-CoV-2_ORF6,P0DTC6
Q86WG3,ATCAY,SARS-CoV-2_ORF6,P0DTC6
Q86X95,CIR1,SARS-CoV-2_ORF6,P0DTC6
Q14031,COL4A6,SARS-CoV-2_ORF6,P0DTC6
O43405,COCH,SARS-CoV-2_ORF6,P0DTC6
P56385,ATP5ME,SARS-CoV-2_ORF6,P0DTC6
Q13072,BAGE,SARS-CoV-2_ORF6,P0DTC6
P00167,CYB5A,SARS-CoV-2_ORF6,P0DTC6
Q96NH3,TBC1D32,SARS-CoV-2_ORF6,P0DTC6
Q13561,DCTN2,SARS-CoV-2_ORF6,P0DTC6
Q14790,CASP8,SARS-CoV-2_ORF6,P0DTC6
Q30KR1,DEFB109B,SARS-CoV-2_ORF6,P0DTC6
Q30KQ6,DEFB114,SARS-CoV-2_ORF6,P0DTC6
Q5J5C9,DEFB121,SARS-CoV-2_ORF6,P0DTC6
Q8N688,DEFB123,SARS-CoV-2_ORF6,P0DTC6
Q9UPW5,AGTPBP1,SARS-CoV-2_ORF6,P0DTC6
Q5SZD1,C6orf141,SARS-CoV-2_ORF6,P0DTC6
Q8WUX2,CHAC2,SARS-CoV-2_ORF6,P0DTC6
Q7Z4U5,C6orf201,SARS-CoV-2_ORF6,P0DTC6
Q5SY13,COL5A1-AS1,SARS-CoV-2_ORF6,P0DTC6
Q8N9R0,LINC00304,SARS-CoV-2_ORF6,P0DTC6
Q9NUQ9,CYRIB,SARS-CoV-2_ORF6,P0DTC6
Q9HC16,APOBEC3G,SARS-CoV-2_ORF6,P0DTC6
P12235,SLC25A4,SARS-CoV-2_ORF6,P0DTC6
O95994,AGR2,SARS-CoV-2_ORF6,P0DTC6
Q15847,ADIRF,SARS-CoV-2_ORF6,P0DTC6
O60678,PRMT3,SARS-CoV-2_ORF6,P0DTC6
P49418,AMPH,SARS-CoV-2_ORF6,P0DTC6
P07355,ANXA2,SARS-CoV-2_ORF6,P0DTC6
Q8N9N2,ASCC1,SARS-CoV-2_ORF6,P0DTC6
Q9BU40,CHRDL1,SARS-CoV-2_ORF6,P0DTC6
Q10588,BST1,SARS-CoV-2_ORF6,P0DTC6
Q9NWS6,FAM118A,SARS-CoV-2_ORF6,P0DTC6
P11171,EPB41,SARS-CoV-2_ORF6,P0DTC6
Q15486,GUSBP1,SARS-CoV-2_ORF6,P0DTC6
Q96P70,IPO9,SARS-CoV-2_ORF6,P0DTC6
Q9BYR0,KRTAP4-7,SARS-CoV-2_ORF6,P0DTC6
P59990,KRTAP12-1,SARS-CoV-2_ORF6,P0DTC6
Q9BYR8,KRTAP3-1,SARS-CoV-2_ORF6,P0DTC6
Q9BYR3,KRTAP4-4,SARS-CoV-2_ORF6,P0DTC6
Q9BYR7,KRTAP3-2,SARS-CoV-2_ORF6,P0DTC6
O75690,KRTAP5-8,SARS-CoV-2_ORF6,P0DTC6
P06315,IGKV5-2,SARS-CoV-2_ORF6,P0DTC6
Q8WXA2,PATE1,SARS-CoV-2_ORF6,P0DTC6
Q96SE0,ABHD1,SARS-CoV-2_ORF6,P0DTC6
O60516,EIF4EBP3,SARS-CoV-2_ORF6,P0DTC6
Q9BUW7,BBLN,SARS-CoV-2_ORF6,P0DTC6
Q86UN6,AKAP14,SARS-CoV-2_ORF6,P0DTC6
Q6XD76,ASCL4,SARS-CoV-2_ORF6,P0DTC6
Q8IZT6,ASPM,SARS-CoV-2_ORF6,P0DTC6
O15551,CLDN3,SARS-CoV-2_ORF6,P0DTC6
P56747,CLDN6,SARS-CoV-2_ORF6,P0DTC6
Q8WW18,C17orf50,SARS-CoV-2_ORF6,P0DTC6
Q075Z2,BSPH1,SARS-CoV-2_ORF6,P0DTC6
Q8TDH9,BLOC1S5,SARS-CoV-2_ORF6,P0DTC6
Q5XLA6,CARD17,SARS-CoV-2_ORF6,P0DTC6
Q9C0F1,CEP44,SARS-CoV-2_ORF6,P0DTC6
P04234,CD3D,SARS-CoV-2_ORF6,P0DTC6
Q6UWT4,C5orf46,SARS-CoV-2_ORF6,P0DTC6
Q0D2K5,EGFEM1P,SARS-CoV-2_ORF6,P0DTC6
P15954,COX7C,SARS-CoV-2_ORF6,P0DTC6
Q9H7Y0,DIPK2B,SARS-CoV-2_ORF6,P0DTC6
Q8TEA8,DTD1,SARS-CoV-2_ORF6,P0DTC6
P52797,EFNA3,SARS-CoV-2_ORF6,P0DTC6
Q7L5D6,GET4,SARS-CoV-2_ORF6,P0DTC6
P16260,SLC25A16,SARS-CoV-2_ORF6,P0DTC6
Q5VVH5,IRAK1BP1,SARS-CoV-2_ORF6,P0DTC6
Q16666,IFI16,SARS-CoV-2_ORF6,P0DTC6
Q8N7X0,ADGB,SARS-CoV-2_ORF6,P0DTC6
P17213,BPI,SARS-CoV-2_ORF6,P0DTC6
Q8N5S3,C2orf73,SARS-CoV-2_ORF6,P0DTC6
Q96IT6,ARHGAP5-AS1,SARS-CoV-2_ORF6,P0DTC6
O15467,CCL16,SARS-CoV-2_ORF6,P0DTC6
Q6NSX1,CCDC70,SARS-CoV-2_ORF6,P0DTC6
Q86Z23,C1QL4,SARS-CoV-2_ORF6,P0DTC6
O95684,CEP43,SARS-CoV-2_ORF6,P0DTC6
Q9Y6B7,AP4B1,SARS-CoV-2_ORF6,P0DTC6
P20073,ANXA7,SARS-CoV-2_ORF6,P0DTC6
Q6P1M9,ARMCX5,SARS-CoV-2_ORF6,P0DTC6
Q03692,COL10A1,SARS-CoV-2_ORF6,P0DTC6
P0C843,LINC00032,SARS-CoV-2_ORF6,P0DTC6
Q9NX76,CMTM6,SARS-CoV-2_ORF6,P0DTC6
Q5BN46,C9orf116,SARS-CoV-2_ORF6,P0DTC6
Q66GS9,CEP135,SARS-CoV-2_ORF6,P0DTC6
O43169,CYB5B,SARS-CoV-2_ORF6,P0DTC6
P0DP74,DEFB130A,SARS-CoV-2_ORF6,P0DTC6
Q9H0Q3,FXYD6,SARS-CoV-2_ORF6,P0DTC6
P58549,FXYD7,SARS-CoV-2_ORF6,P0DTC6
Q9BSY9,DESI2,SARS-CoV-2_ORF6,P0DTC6
Q9UBT3,DKK4,SARS-CoV-2_ORF6,P0DTC6
P09417,QDPR,SARS-CoV-2_ORF6,P0DTC6
Q6UWP2,DHRS11,SARS-CoV-2_ORF6,P0DTC6
Q8TEH3,DENND1A,SARS-CoV-2_ORF6,P0DTC6
O14521,SDHD,SARS-CoV-2_ORF6,P0DTC6
Q9Y2J2,EPB41L3,SARS-CoV-2_ORF6,P0DTC6
Q9NQ75,CASS4,SARS-CoV-2_ORF6,P0DTC6
Q9NRJ3,CCL28,SARS-CoV-2_ORF6,P0DTC6
Q9Y284,WDR83OS,SARS-CoV-2_ORF6,P0DTC6
O15511,ARPC5,SARS-CoV-2_ORF6,P0DTC6
P35670,ATP7B,SARS-CoV-2_ORF6,P0DTC6
Q9Y5P2,CSAG2,SARS-CoV-2_ORF6,P0DTC6
P04118,CLPS,SARS-CoV-2_ORF6,P0DTC6
Q68DQ2,CRYBG3,SARS-CoV-2_ORF6,P0DTC6
O60519,CREBL2,SARS-CoV-2_ORF6,P0DTC6
Q9BUF7,CRB3,SARS-CoV-2_ORF6,P0DTC6
Q5BJE1,CCDC178,SARS-CoV-2_ORF6,P0DTC6
Q6ZMU1,C3P1,SARS-CoV-2_ORF6,P0DTC6
Q5U649,C12orf60,SARS-CoV-2_ORF6,P0DTC6
Q14050,COL9A3,SARS-CoV-2_ORF6,P0DTC6
A6NIU2,LINC01549,SARS-CoV-2_ORF6,P0DTC6
P13716,ALAD,SARS-CoV-2_ORF6,P0DTC6
Q14697,GANAB,SARS-CoV-2_ORF6,P0DTC6
P59768,GNG2,SARS-CoV-2_ORF6,P0DTC6
Q66LE6,PPP2R2D,SARS-CoV-2_ORF6,P0DTC6
O60756,BCE1,SARS-CoV-2_ORF6,P0DTC6
P16442,ABO,SARS-CoV-2_ORF6,P0DTC6
Q8IUR7,ARMC8,SARS-CoV-2_ORF6,P0DTC6
Q6PIY5,ARMH1,SARS-CoV-2_ORF6,P0DTC6
A6NMY6,ANXA2P2,SARS-CoV-2_ORF6,P0DTC6
Q8IVE0,CROCCP3,SARS-CoV-2_ORF6,P0DTC6
Q9UBF2,COPG2,SARS-CoV-2_ORF6,P0DTC6
Q7Z4L0,COX8C,SARS-CoV-2_ORF6,P0DTC6
H7BZ55,CROCC2,SARS-CoV-2_ORF6,P0DTC6
P52943,CRIP2,SARS-CoV-2_ORF6,P0DTC6
Q86Y27,BAGE5,SARS-CoV-2_ORF6,P0DTC6
Q502W7,CCDC38,SARS-CoV-2_ORF6,P0DTC6
Q9Y4F5,CEP170B,SARS-CoV-2_ORF6,P0DTC6
Q9P1Z2,CALCOCO1,SARS-CoV-2_ORF6,P0DTC6
Q5VXU3,CHIC1,SARS-CoV-2_ORF6,P0DTC6
Q86XI2,NCAPG2,SARS-CoV-2_ORF6,P0DTC6
P59036,LINC00310,SARS-CoV-2_ORF6,P0DTC6
P0DP73,DEFB130B,SARS-CoV-2_ORF6,P0DTC6
O00244,ATOX1,SARS-CoV-2_ORF6,P0DTC6
Q14738,PPP2R5D,SARS-CoV-2_ORF6,P0DTC6
P30154,PPP2R1B,SARS-CoV-2_ORF6,P0DTC6
P63151,PPP2R2A,SARS-CoV-2_ORF6,P0DTC6
O95816,BAG2,SARS-CoV-2_ORF6,P0DTC6
Q9Y305,ACOT9,SARS-CoV-2_ORF6,P0DTC6
P0C7W6,CCDC172,SARS-CoV-2_ORF6,P0DTC6
Q9H251,CDH23,SARS-CoV-2_ORF6,P0DTC6
Q5SZL2,CEP85L,SARS-CoV-2_ORF6,P0DTC6
P09543,CNP,SARS-CoV-2_ORF6,P0DTC6
Q8TCD1,C18orf32,SARS-CoV-2_ORF6,P0DTC6
A0A1B0GTU2,CTXND1,SARS-CoV-2_ORF6,P0DTC6
P02778,CXCL10,SARS-CoV-2_ORF6,P0DTC6
P59103,DAOA,SARS-CoV-2_ORF6,P0DTC6
P01040,CSTA,SARS-CoV-2_ORF6,P0DTC6
P62805,H4-16,SARS-CoV-2_ORF6,P0DTC6
P20930,FLG,SARS-CoV-2_ORF6,P0DTC6
Q9NSB8,HOMER2,SARS-CoV-2_ORF6,P0DTC6
Q10471,GALNT2,SARS-CoV-2_ORF6,P0DTC6
Q9BTM1,H2AJ,SARS-CoV-2_ORF6,P0DTC6
P28799,GRN,SARS-CoV-2_ORF6,P0DTC6
O60565,GREM1,SARS-CoV-2_ORF6,P0DTC6
P04196,HRG,SARS-CoV-2_ORF6,P0DTC6
A6NIK2,LRRC10B,SARS-CoV-2_ORF6,P0DTC6
Q9UGI9,PRKAG3,SARS-CoV-2_ORF6,P0DTC6
Q9Y2D5,AKAP2,SARS-CoV-2_ORF6,P0DTC6
P27695,APEX1,SARS-CoV-2_ORF6,P0DTC6
Q8N4S0,CCDC82,SARS-CoV-2_ORF6,P0DTC6
Q96T59,CDRT15,SARS-CoV-2_ORF6,P0DTC6
Q9H560,ANKRD19P,SARS-CoV-2_ORF6,P0DTC6
Q8NFU1,BEST2,SARS-CoV-2_ORF6,P0DTC6
P0DN86,CGB3,SARS-CoV-2_ORF6,P0DTC6
Q9BUK0,CHCHD7,SARS-CoV-2_ORF6,P0DTC6
Q008S8,ECT2L,SARS-CoV-2_ORF6,P0DTC6
O75339,CILP,SARS-CoV-2_ORF6,P0DTC6
P42830,CXCL5,SARS-CoV-2_ORF6,P0DTC6
P43897,TSFM,SARS-CoV-2_ORF6,P0DTC6
Q9H223,EHD4,SARS-CoV-2_ORF6,P0DTC6
Q8TAG9,EXOC6,SARS-CoV-2_ORF6,P0DTC6
Q4L180,FILIP1L,SARS-CoV-2_ORF6,P0DTC6
Q16568,CARTPT,SARS-CoV-2_ORF6,P0DTC6
A2RUS2,DENND3,SARS-CoV-2_ORF6,P0DTC6
Q5YKI7,GGNBP1,SARS-CoV-2_ORF6,P0DTC6
Q9NZW4,DSPP,SARS-CoV-2_ORF6,P0DTC6
O60941,DTNB,SARS-CoV-2_ORF6,P0DTC6
Q5T8R8,DOCK8-AS1,SARS-CoV-2_ORF6,P0DTC6
Q9BV94,EDEM2,SARS-CoV-2_ORF6,P0DTC6
H0Y354,FAM72C,SARS-CoV-2_ORF6,P0DTC6
Q6L9T8,FAM72D,SARS-CoV-2_ORF6,P0DTC6
Q96C92,ENTR1,SARS-CoV-2_ORF6,P0DTC6
